CourseCode,Semester,CourseName,StudyLevel
DRB3-03,3,Modeliranje temeljeno na podacima,Sveu?ilišni diplomski studij Ra?unarstva
DRB3EC1-03,3,Industrijska informatika,Sveu?ilišni diplomski studij Ra?unarstva
DRC1-05,1,Modeliranje i dizajn programskih sustava,Sveu?ilišni diplomski studij Ra?unarstva
DRCD2-03,2,Vizualizacija podataka,Sveu?ilišni diplomski studij Ra?unarstva
DRCD2-04,2,Ra?unarstvo usluga i analiza podataka,Sveu?ilišni diplomski studij Ra?unarstva
DRCDKB2-02,2,Internet programiranje,Sveu?ilišni diplomski studij Ra?unarstva
DRCKB2-05,2,Razvoj mobilnih aplikacija,Sveu?ilišni diplomski studij Ra?unarstva
DRD1-05,1,Obrada slike i ra?unalni vid,Sveu?ilišni diplomski studij Ra?unarstva
DRD2-05,2,Razvoj ra?unalnih igara,Sveu?ilišni diplomski studij Ra?unarstva
DRDKB3-03,3,Internet objekata,Sveu?ilišni diplomski studij Ra?unarstva
DAK1-03,1,Napredno programiranje,Sveu?ilišni diplomski studij Elektrotehnike
DK1-01,1,Elektromagnetska polja i valovi,Sveu?ilišni diplomski studij Elektrotehnike
DK1-02,1,Mreže ra?unala,Sveu?ilišni diplomski studij Elektrotehnike
DKA1-05,1,Mikroelektronika,Sveu?ilišni diplomski studij Elektrotehnike
DK2-01,2,Multimedijski sustavi,Sveu?ilišni diplomski studij Elektrotehnike
DKA2-02,2,Predajnici,Sveu?ilišni diplomski studij Elektrotehnike
DKA2-04,2,Antene,Sveu?ilišni diplomski studij Elektrotehnike
DKA2-05,2,Optoelektroni?ke komunikacije,Sveu?ilišni diplomski studij Elektrotehnike
DK3-01,3,Mobilne komunikacije,Sveu?ilišni diplomski studij Elektrotehnike
DKA3-02,3,Prijemnici,Sveu?ilišni diplomski studij Elektrotehnike
DKA3-03,3,Primjena mikroupravlja?kih sustava,Sveu?ilišni diplomski studij Elektrotehnike
DKB1-05,1,Kodovi i kodiranje,Sveu?ilišni diplomski studij Elektrotehnike
DAKB2-04,2,Objektno programiranje,Sveu?ilišni diplomski studij Elektrotehnike
DKB2-03,2,Sigurnost ra?unalnih sustava,Sveu?ilišni diplomski studij Elektrotehnike
DKB3-02,3,Komunikacijski protokoli,Sveu?ilišni diplomski studij Elektrotehnike
DE1-01,1,Elektri?ni strojevi,Sveu?ilišni diplomski studij Elektrotehnike
